,PC1_U,PC2_U,PC3_U,PC4_U,PC5_U,PC6_U,PC7_U,PC8_U,PC9_U
EV1,0.05600808315576738,-0.2823818306000102,0.2724023143644453,0.3831724089664872,0.34435746293478164,0.3617555376679193,-0.38272128150897117,0.38307833878336073,-0.39169599975841374
EV2,0.6312424603001728,0.4450211347131523,-0.46251558088190486,-0.14813302359632274,0.2754851409012926,0.25567768732666674,-0.10985972091243704,0.1194328718096056,0.005345926741212745
EV3,0.304518131125869,-0.2554672597486375,0.20349382596708301,0.17766631558051352,0.6071898538671937,-0.10883335669345706,0.45078563289550866,-0.4081959186359522,0.13665400516988913
EV4,-0.1514942942667928,0.06980983845144986,-0.16556597810166057,-0.2778889450601217,0.15079132102281487,-0.2091339723887115,0.2974933524111817,-0.03396809940427599,-0.8434515629007585
EV5,0.6328936642622567,-0.20162647611252105,0.345561092423714,-0.1688483546189704,-0.31808104032707074,-0.4813180940172375,-0.05963028444729092,0.2492298539761661,-0.1111584078347353
EV6,0.2771024983551378,-0.11887053117591462,-0.11342752297303323,0.3940543840754083,-0.5585061900734488,0.4242915520726857,0.2891872149992848,-0.3146816974994915,-0.25755201431096936
EV7,-0.02114550870129807,0.7708613485693504,0.4864246931803083,0.3684929218688447,-0.012658760789693413,-0.13315018126910794,0.0544223664515939,-0.051132927669613804,-0.09728333815009534
EV8,0.06666453569522518,-0.01574592102998995,0.01752051326692807,-0.07257236338217854,0.01639443175896056,-0.12116386069128676,-0.6712622631102624,-0.7041940710358899,-0.1682332168482747
EV9,0.02197179646624291,0.053114642601388075,0.5233166003227154,-0.6305596886794717,-0.02397080610461927,0.5514345405715765,0.09489702239224818,-0.10754105676342979,0.0022613958288821923
